"Category","Peak Demand","Peak Met"
" Maharashtra<br>Dec-2020",23536.5,23536.5
" Maharashtra<br>Jan-2021",24058,24058
" Maharashtra<br>Feb-2021",24122.30185,24097
" Maharashtra<br>Mar-2021",25575.50685,25513
" Maharashtra<br>Apr-2021",25652.9754,25644
" Maharashtra<br>May-2021",23745.90705,23721
" Maharashtra<br>Jun-2021",21141,21141
" Maharashtra<br>Jul-2021",24097.43115,24089
" Maharashtra<br>Aug-2021",24428,24428
" Maharashtra<br>Sep-2021",21502,21502
" Maharashtra<br>Oct-2021",22892,22892
" Maharashtra<br>Nov-2021",25215,25215
" Maharashtra<br>Dec-2021",24428.547,24420
" Maharashtra<br>Jan-2022",25559.8794,25542
" Maharashtra<br>Feb-2022",26316.20745,26307
" Maharashtra<br>Feb-2022",26316.20745,26307
" Maharashtra<br>Mar-2022",28074.8336,28016
" Maharashtra<br>Mar-2022",28074.8336,28016
" Maharashtra<br>Apr-2022",30935.2883,28846
" Maharashtra<br>Apr-2022",30935.2883,28846
" Maharashtra<br>May-2022",27968.5,27968.5
" Maharashtra<br>May-2022",27968.5,27968.5
" Maharashtra<br>Jun-2022",26971.5,26971.5
" Maharashtra<br>Jun-2022",26971.5,26971.5
" Maharashtra<br>Jul-2022",22539.5,22539.5
" Maharashtra<br>Jul-2022",22539.5,22539.5
" Maharashtra<br>Aug-2022",24186.4623,24178
" Maharashtra<br>Sep-2022",22573.6775,22550
" Maharashtra<br>Oct-2022",22513,22513
" Maharashtra<br>Nov-2022",25936.354548,25927.28
" Maharashtra<br>Dec-2022",27234,27234
" Maharashtra<br>Jan-2023",27860.1,27860.1
" Maharashtra<br>Feb-2023",28518.9493,28499
" Maharashtra<br>Mar-2023",28576.138149,28566.14
" Maharashtra<br>Apr-2023",28584,28584
" Maharashtra<br>May-2023",28160.3694,28121
" Maharashtra<br>Jun-2023",28546,28546
" Maharashtra<br>Jul-2023",24543.58725,24535
" Maharashtra<br>Aug-2023",31177.975021,27996.003
" Maharashtra<br>Sep-2023",27678.313,27678.313
" Maharashtra<br>Oct-2023",28206,28206
" Maharashtra<br>Nov-2023",28385.7738,28356
" Maharashtra<br>Dec-2023",27755,27755
" Maharashtra<br>Jan-2024",28650.997,28650.997
" Maharashtra<br>Feb-2024",28969,28969
" Maharashtra<br>Mar-2024",28795.3435,28735
" Maharashtra<br>Apr-2024",28924,28924
" Maharashtra<br>May-2024",28452.3,28452.3
" Maharashtra<br>Jun-2024",28310.004,28310.004
" Maharashtra<br>Jul-2024",24174,24174
" Maharashtra<br>Aug-2024",28074,25855
" Maharashtra<br>Sep-2024",30049,26543
" Maharashtra<br>Oct-2024",26632,26613
" Maharashtra<br>Nov-2024",27845,27845
" Maharashtra<br>Dec-2024",28632,28632
" Maharashtra<br>Jan-2025",29836,29826
" Maharashtra<br>Feb-2025",30151,30151
" Maharashtra<br>Mar-2025",30675,30675
" Maharashtra<br>Apr-2025",30659,30659
" Maharashtra<br>May-2025",29124,29124
" Maharashtra<br>Jun-2025",25604,25604
" Maharashtra<br>Jul-2025",26426,26426
" Maharashtra<br>Aug-2025",26890,26731
" Maharashtra<br>Sep-2025",26267,26267
" Maharashtra<br>Oct-2025",27286,27286
" Maharashtra<br>Nov-2025",27326,27326
" Maharashtra<br>Dec-2025",28605,28605